participant,stim1,rating,rt
1,melancholy,19,5051
1,affection,68,2488
1,enjoyment,82,1898
1,interest,62,1710
1,warmth,61,1761
1,sleepiness,38,2220
1,serenity,57,1575
1,relief,80,2940
1,playfulness,51,3382
1,mortification,23,1979
1,dominance,45,2076
1,decision,92,5139
1,excitement,68,1910
1,contemplation,60,2069
1,rage,20,2385
1,regret,37,3997
1,relaxation,57,1694
1,self-consciousness,59,2632
1,tiredness,35,1605
1,panic,39,1973
1,jealousy,40,2047
1,fury,14,1823
1,fatigue,30,2032
1,sadness,29,1822
2,interest,70,17818
2,panic,26,3233
2,excitement,74,1898
2,jealousy,20,2800
2,fury,6,1951
2,sleepiness,76,1765
2,contemplation,65,4666
2,self-consciousness,75,2000
2,rage,20,3151
2,warmth,40,4251
2,serenity,40,4781
2,regret,80,3017
2,playfulness,50,3217
2,tiredness,85,5649
2,relaxation,40,7301
2,relief,40,3115
2,melancholy,39,3967
2,affection,50,2784
2,fatigue,80,3183
2,dominance,31,3901
2,sadness,60,2748
2,enjoyment,55,2534
2,decision,59,1965
2,mortification,15,4283
3,enjoyment,100,6930
3,affection,90,13974
3,contemplation,100,3497
3,decision,100,2569
3,warmth,90,4569
3,sadness,100,2193
3,dominance,70,6380
3,playfulness,91,6018
3,melancholy,100,5602
3,self-consciousness,96,6739
3,serenity,66,2769
3,excitement,100,2368
3,mortification,100,2360
3,relaxation,92,4987
3,fatigue,100,3327
3,fury,100,2488
3,regret,100,2484
3,relief,100,1749
3,panic,100,1721
3,interest,97,3120
3,tiredness,100,1751
3,jealousy,100,1755
3,sleepiness,100,2006
3,rage,100,1801
4,playfulness,34,8226
4,melancholy,67,5893
4,dominance,44,5218
4,enjoyment,55,4202
4,mortification,36,4816
4,regret,73,3600
4,rage,47,4593
4,affection,56,4832
4,panic,59,3697
4,relief,68,5409
4,warmth,54,3161
4,jealousy,71,4015
4,self-consciousness,62,3841
4,decision,66,4114
4,sleepiness,84,3680
4,relaxation,66,3481
4,tiredness,83,2927
4,contemplation,57,3512
4,fury,28,8136
4,excitement,59,3247
4,sadness,65,3633
4,interest,65,3617
4,fatigue,82,3089
4,serenity,39,3335
5,sadness,60,14213
5,mortification,15,5118
5,sleepiness,33,3475
5,decision,50,4015
5,self-consciousness,65,4933
5,relaxation,28,6050
5,contemplation,36,2421
5,melancholy,20,3433
5,tiredness,33,3474
5,fury,25,2677
5,serenity,25,2464
5,interest,36,3877
5,panic,15,2230
5,excitement,38,2207
5,relief,35,3202
5,fatigue,33,3443
5,jealousy,21,3765
5,regret,20,2614
5,rage,23,3160
5,affection,37,5223
5,warmth,43,2487
5,dominance,20,1652
5,playfulness,41,1887
5,enjoyment,52,1419
6,decision,63,6045
6,relief,71,3922
6,sadness,71,2587
6,relaxation,53,7667
6,mortification,42,2954
6,contemplation,66,3399
6,fury,74,2345
6,jealousy,70,2930
6,melancholy,57,2418
6,rage,65,2734
6,fatigue,58,2689
6,serenity,62,2535
6,warmth,69,4619
6,interest,59,2474
6,affection,69,2160
6,enjoyment,66,2608
6,excitement,67,2189
6,regret,71,1893
6,sleepiness,71,2073
6,tiredness,68,2001
6,playfulness,73,2187
6,panic,45,2354
6,self-consciousness,59,2408
6,dominance,64,2868
7,mortification,18,5239
7,enjoyment,75,2440
7,affection,39,2633
7,self-consciousness,72,2878
7,rage,57,1800
7,decision,57,3085
7,playfulness,66,1823
7,serenity,34,1728
7,warmth,33,1422
7,excitement,63,1575
7,fatigue,80,2105
7,panic,55,2002
7,sleepiness,74,1874
7,regret,94,2180
7,fury,60,1859
7,melancholy,74,2373
7,sadness,74,1605
7,tiredness,96,2117
7,jealousy,76,1587
7,contemplation,40,2601
7,relief,62,1576
7,interest,63,1720
7,relaxation,18,1849
7,dominance,56,1627
8,relief,77,12260
8,tiredness,93,7076
8,fury,53,5312
8,melancholy,64,5109
8,dominance,33,12376
8,sleepiness,82,4414
8,affection,52,4936
8,warmth,56,3514
8,serenity,64,5173
8,interest,79,3648
8,mortification,23,14229
8,enjoyment,76,3823
8,sadness,76,3916
8,jealousy,55,3453
8,decision,64,7066
8,fatigue,89,4222
8,playfulness,55,3724
8,regret,58,3401
8,excitement,63,4650
8,self-consciousness,40,4987
8,relaxation,58,7679
8,rage,64,5624
8,panic,75,3440
8,contemplation,74,4288
9,dominance,28,4852
9,panic,62,6721
9,jealousy,83,2048
9,fury,42,4222
9,tiredness,94,2409
9,mortification,64,2252
9,fatigue,84,2081
9,decision,100,2402
9,relaxation,65,2660
9,contemplation,85,2565
9,rage,47,2406
9,enjoyment,61,4457
9,relief,63,3958
9,self-consciousness,63,2395
9,serenity,29,2943
9,regret,66,2039
9,sleepiness,80,1696
9,sadness,66,2247
9,affection,55,3497
9,playfulness,39,2314
9,excitement,52,3510
9,melancholy,54,2195
9,interest,63,1905
9,warmth,44,3160
10,rage,8,8531
10,warmth,35,2162
10,sadness,23,2597
10,relaxation,36,3013
10,sleepiness,31,26945
10,fatigue,31,21481
10,interest,42,6099
10,tiredness,33,2384
10,mortification,2,7610
10,regret,7,15264
10,panic,6,2676
10,enjoyment,27,2161
10,serenity,31,4462
10,playfulness,27,5124
10,decision,31,4070
10,fury,15,2308
10,dominance,27,4726
10,self-consciousness,44,5478
10,excitement,27,3125
10,melancholy,17,2643
10,relief,18,2516
10,contemplation,23,2386
10,affection,27,2436
10,jealousy,27,4278
